,id,name,platforms,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
0,257765,Hayarigami: Keishichou Kaii Jiken File,"[8, 20, 38]",From chain mails that leads to murder mysterious suicides and missing children you as a police officer have to put all your brain cells to work connect the events together to discover the truth,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1,79329,Hayarigami: Toshi Densetsu Kaii Jiken,"[8, 20, 38]",From chain mails that leads to murder mysterious suicides and missing children you as a police officer have to put all your brain cells to work connect the events together to discover the truth,[34],Missing,,,,,,
2,44071,Polar Bowler,"[6, 20]",Humorous take on bowling Aim for strikes at the Chill Pin Alley lanes as you steer Polar Bowler around obstacles and watch him plunge into the pins,"[14, 33]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
3,4101,Second Sight,"[6, 8, 11, 21]",Second Sight is primarily stealthaction using psychic abilities to stealthily move through levels Due to its dark atmosphere it could be considered a psychological thriller The game focuses on John Vattics exploration of his own mind discovering psychic abilities and a dark history before his amnesia,"[5, 31]",80.13904170874612,8.94,13.08,13.3,73.0,45.0,52.0
4,4571,WWE Day of Reckoning,[21],Hit the ropes against WWEs top superstars in WWE Day of Reckoning which features an allnew story mode filled with deception and betrayal As your own created wrestler you can rise up the ranks from the minor leagues of sports entertainment all the way to primetime WWE programming You can choose your favorite WWE Divas and go headtohead in a Bra  Panties match Each wrestling star including Legends can target specific body parts to wear down opponents,"[4, 14]",79.75482739814866,7.07,9.86,12.0,74.0,17.0,9.0
5,778,Madden NFL 2005,"[6, 8, 11, 21]",Force the action on defense in MADDEN NFL 2005 New defensive tools allow you to make more plays and be in on all of the action The allnew Hit Stick lets you lay the big hit to turn the momentum of the game in your favor With the new Storyline Central you get the inside scoop around the league from radio host Tony Bruno along with local and national newspapers to help you make critical franchise decisions With groundbreaking graphics that capture the real stadium experience Madden NFL 2005 continues its 15year tradition of video game innovation,"[13, 14]",70.00652108876497,25.37,0.0,0.0,79.0,15.0,3.0
6,3969,Konjiki no Gash Bell!! Yuujou no Tag Battle Full Power,[21],Missing,[4],58.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4184,Street Racing Syndicate,"[6, 8, 11, 21]",The raw highstakes world of illegal street racing comes to life in Street Racing Syndicate Trick out over 40 authentic licensed cars with parts from over 15 realworld manufacturers then turn your customized ride loose on the streets of 3 cities across the USA,[10],55.0566063767556,12.26,13.82,16.42,58.0,26.0,27.0
8,4027,NASCAR 2005: Chase for the Cup,"[8, 11, 21]",NASCAR 2005 revolutionizes NASCAR video games by adding the National Craftsman Truck and Featherlite Modified Series to the game plus the all new Chase points format in an all new Chase for the Cup Mode,"[10, 14]",38.0,42.0,0.0,142.27,75.0,10.0,4.0
9,1554,Virtua Quest,"[8, 21]",In Virtua Quest you play the role Sei a young boy As you explore each stage youll discover Virtua Souls data clusters that contain information about the martial arts abilities of the legendary Virtua Fighter characters With each cluster you gain the ability to perform complex fighting moves As the story progresses you discover that only you can unlock the potential of the Virtua Soulsa discovery that soon gains the attention of Judgement 6 an evil syndicate,"[4, 12, 31]",34.0,10.16,0.0,0.0,60.0,2.0,3.0
